model,strategy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,true_negatives,false_negatives
catboost,baseline,0.9473684210526315,0.7346938775510204,0.8275862068965517,0.957513379578055,0.8092541950272905,36,2,28430,13
xgboost,oversample,0.8809523809523809,0.7551020408163265,0.8131868131868132,0.9667340909351922,0.8056927233396444,37,5,28427,12
xgboost,adasyn,0.8043478260869565,0.7551020408163265,0.7789473684210526,0.9734841741986608,0.80282536029615,37,9,28423,12
xgboost,smotetomek,0.7916666666666666,0.7755102040816326,0.7835051546391752,0.9559342448290514,0.7933898096604372,38,10,28422,11
xgboost,smote,0.7916666666666666,0.7755102040816326,0.7835051546391752,0.9559342448290514,0.7933898096604372,38,10,28422,11
lightgbm,oversample,0.8444444444444444,0.7755102040816326,0.8085106382978723,0.9501582005903093,0.7925032970011722,38,7,28425,11
random_forest,adasyn,0.8372093023255814,0.7346938775510204,0.782608695652174,0.9624126451368392,0.7844369546095558,36,7,28425,13
catboost,oversample,0.8085106382978723,0.7755102040816326,0.7916666666666666,0.9469654772432327,0.782744867805763,38,9,28423,11
lightgbm,adasyn,0.5064935064935064,0.7959183673469388,0.6190476190476191,0.9478907066484444,0.7766346023473274,39,38,28394,10
random_forest,class_weight,0.8974358974358975,0.7142857142857143,0.7954545454545454,0.9246189260735246,0.7742971809087938,35,4,28428,14
random_forest,baseline,0.9210526315789473,0.7142857142857143,0.8045977011494253,0.9057303211098733,0.7739373091027965,35,3,28429,14
random_forest,smotetomek,0.8372093023255814,0.7346938775510204,0.782608695652174,0.9408312565318756,0.773829507680819,36,7,28425,13
random_forest,smote,0.8372093023255814,0.7346938775510204,0.782608695652174,0.9408312565318756,0.773829507680819,36,7,28425,13
random_forest,oversample,0.918918918918919,0.6938775510204082,0.7906976744186046,0.9359370154927474,0.7734916779365851,34,3,28429,15
catboost,smotetomek,0.6666666666666666,0.7346938775510204,0.6990291262135923,0.9497296808425113,0.7719388118225556,36,18,28414,13
catboost,smote,0.6666666666666666,0.7346938775510204,0.6990291262135923,0.9497296808425113,0.7719388118225556,36,18,28414,13
lightgbm,smote,0.6557377049180327,0.8163265306122449,0.7272727272727273,0.9490276836677272,0.7605906002917019,40,21,28411,9
